ProjectId,PredictedRiskScore,RiskCategory
833062,0.0056953975531115475,Yüksek Risk
833062,0.014990510068408014,Yüksek Risk
833062,0.01547029084698437,Yüksek Risk
833062,20.088253010555306,Yüksek Risk
833063,0.3177525803452994,Yüksek Risk
833063,0.0010701588760468894,Yüksek Risk
833063,19.99045222807957,Yüksek Risk
833064,0.0,Yüksek Risk
833064,0.0,Yüksek Risk
833064,0.0,Yüksek Risk
833064,20.036280321018026,Yüksek Risk
833065,60.197448816772365,Düşük Risk
833065,60.197448816772365,Düşük Risk
833065,57.752575748559195,Düşük Risk
833065,60.197448816772365,Düşük Risk
833065,60.197448816772365,Düşük Risk
833065,57.752575748559195,Düşük Risk
833065,0.5797367548192867,Yüksek Risk
833065,0.5797367548192867,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,0.0,Yüksek Risk
833065,20.0158887232694,Yüksek Risk
833066,0.0,Yüksek Risk
833066,0.0,Yüksek Risk
833066,0.0,Yüksek Risk
833066,20.036280321018026,Yüksek Risk
833067,0.009752814989944625,Yüksek Risk
833067,0.018470367454824554,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.016070914494342503,Yüksek Risk
833067,0.015162317732844599,Yüksek Risk
833067,0.015162317732844599,Yüksek Risk
833067,0.015958492653346923,Yüksek Risk
833067,20.021985001557038,Yüksek Risk
833068,0.0,Yüksek Risk
833068,57.89732505873046,Düşük Risk
833068,57.89732505873046,Düşük Risk
833068,58.11214528214869,Düşük Risk
833068,58.11214528214869,Düşük Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,0.0,Yüksek Risk
833068,20.003666040023766,Yüksek Risk
833069,60.423504067503316,Düşük Risk
833069,60.47441689327394,Düşük Risk
833069,60.467249598552975,Düşük Risk
833069,60.467249598552975,Düşük Risk
833069,60.467249598552975,Düşük Risk
833069,60.46520966992057,Düşük Risk
833069,60.46520966992057,Düşük Risk
833069,60.46520966992057,Düşük Risk
833069,60.55171592200914,Düşük Risk
833069,60.55171592200914,Düşük Risk
833069,60.587958328375024,Düşük Risk
833069,100.0,Çok Düşük Risk
833070,0.0,Yüksek Risk
833070,0.0,Yüksek Risk
833070,0.0,Yüksek Risk
833070,19.979324651305614,Yüksek Risk
833071,0.013505131559476524,Yüksek Risk
833071,0.028170199585765943,Yüksek Risk
833071,20.05716767604459,Yüksek Risk
833072,60.51763784324944,Düşük Risk
833072,60.45082203512797,Düşük Risk
833072,60.44350187490419,Düşük Risk
833072,60.44350187490419,Düşük Risk
833072,60.44350187490419,Düşük Risk
833072,60.44146194627179,Düşük Risk
833072,60.44146194627179,Düşük Risk
833072,60.44146194627179,Düşük Risk
833072,60.411426345151824,Düşük Risk
833072,100.0,Çok Düşük Risk
833073,0.3364653780381559,Yüksek Risk
833073,0.016375558476951824,Yüksek Risk
833073,0.034218584277624586,Yüksek Risk
833073,20.050902904232316,Yüksek Risk
833074,0.0,Yüksek Risk
833074,0.0,Yüksek Risk
833074,0.0,Yüksek Risk
833074,0.0,Yüksek Risk
833074,0.0,Yüksek Risk
833074,20.026717592360725,Yüksek Risk
833075,0.0,Yüksek Risk
833075,0.0,Yüksek Risk
833075,0.0,Yüksek Risk
833075,0.0,Yüksek Risk
833075,0.0,Yüksek Risk
833075,20.026717592360725,Yüksek Risk
833076,0.0,Yüksek Risk
833076,0.0,Yüksek Risk
833076,19.981245302941275,Yüksek Risk
833078,0.8520443582752364,Yüksek Risk
833078,0.5917872352280824,Yüksek Risk
833078,0.5258762202025196,Yüksek Risk
833078,0.2656190971553585,Yüksek Risk
833078,0.7742993631203703,Yüksek Risk
